,feature_name,data_type
0,RID,int64
1,APGEN1,int64
2,APGEN2,int64
3,BCVOMIT,int64
4,BCENERGY,int64
5,BCHDACHE,int64
6,BCURNFRQ,int64
7,BCINSOMN,int64
8,BCDROWSY,int64
9,BCURNDIS,int64
10,BCMUSCLE,int64
11,BCANKLE,int64
12,BCDIARRH,int64
13,BCDIZZY,int64
14,BCVISION,int64
15,BCRASH,int64
16,BCDRYMTH,int64
17,BCPALPIT,int64
18,BCCRYING,int64
19,BCDPMOOD,int64
20,BCNAUSEA,int64
21,BCCHEST,int64
22,BCSWEATN,int64
23,BCCOUGH,int64
24,BCELMOOD,int64
25,BCBREATH,int64
26,BCABDOMN,int64
27,BCWANDER,int64
28,BCCONSTP,int64
29,BCFALL,int64
30,TAU,float64
31,PTAU,float64
32,ABETA,float64
33,PTEDUCAT,float64
34,PTTLANG,int64
35,PTGENDER,int64
36,PTNOTRT,int64
37,PTRACCAT,int64
38,PTDOBYY,float64
39,PTETHCAT,int64
40,PTHAND,int64
41,PTMARRY,int64
42,GDTOTAL,float64
43,DXNORM,int64
44,DXMPTR5,int64
45,DXPARK,int64
46,DXMPTR1,int64
47,DXDEP,int64
48,DXOTHDEM,int64
49,DXCOMB,int64
50,DXMPTR3,int64
51,DXMPTR2,int64
52,DX_CHANGE,int64
53,DXNODEP,int64
54,DX_FINAL,int64
55,DXMPTR4,int64
56,DX_BASE,int64
57,DADDEM,int64
58,DADAD,int64
59,MOMDEM,int64
60,MOMAD,int64
61,HMT81,float64
62,HMT93,float64
63,HMT58,float64
64,HMT100,float64
65,HMT49,float64
66,HMT62,float64
67,HMT10,float64
68,HMT4,float64
69,HMT68,float64
70,CMT3,float64
71,HMT60,float64
72,HMT21,float64
73,HMT69,float64
74,RCT9,float64
75,HMT97,float64
76,HMT74,float64
77,HMT98,float64
78,HMT53,float64
79,HMT90,float64
80,RCT13,float64
81,HMT2,float64
82,HMT8,float64
83,RCT183,float64
84,HMT67,float64
85,HMT16,float64
86,HMT7,float64
87,RCT1,float64
88,HMT17,float64
89,RCT19,float64
90,HMT86,float64
91,UAT2,float64
92,HMT66,float64
93,HMT91,float64
94,HMT96,float64
95,HMT92,float64
96,HMT76,float64
97,RCT4,float64
98,HMT79,float64
99,HMT61,float64
100,HMT54,float64
101,HMT12,float64
102,BAT324,float64
103,HMT57,float64
104,HMT48,float64
105,RCT1407,float64
106,HMT99,float64
107,HMT89,float64
108,HMT52,float64
109,HMT70,float64
110,RCT1408,float64
111,HMT72,float64
112,HMT3,float64
113,HMT11,float64
114,RCT3,float64
115,HMT78,float64
116,AXT117,float64
117,UAT3,float64
118,HMT20,float64
119,HMT77,float64
120,RCT5,float64
121,HMT87,float64
122,HMT63,float64
123,HMT40,float64
124,HMT82,float64
125,HMT94,float64
126,HMT83,float64
127,HMT15,float64
128,HMT56,float64
129,RCT6,float64
130,RCT392,float64
131,HMT75,float64
132,HMT13,float64
133,HMT19,float64
134,HMT50,float64
135,HMT65,float64
136,RCT20,float64
137,CMT2,float64
138,HMT64,float64
139,RCT8,float64
140,RCT12,float64
141,HMT85,float64
142,HMT55,float64
143,HMT84,float64
144,HMT9,float64
145,RCT29,float64
146,HMT18,float64
147,HMT59,float64
148,HMT95,float64
149,RCT11,float64
150,HMT88,float64
151,BAT126,float64
152,HMT102,float64
153,HMT80,float64
154,RCT14,float64
155,MH16ASMOK,float64
156,MH9ENDO,int64
157,MH16BSMOK,float64
158,MH7DERM,int64
159,MH15DRUG,int64
160,MH4CARD,int64
161,MH18SURG,int64
162,MH16SMOK,int64
163,MH11HEMA,int64
164,MH13ALLE,int64
165,MH12RENA,int64
166,MH16CSMOK,float64
167,MH14CALCH,float64
168,MH14BALCH,float64
169,MH3HEAD,int64
170,MH15BDRUG,float64
171,MH17MALI,int64
172,MH10GAST,int64
173,MH15ADRUG,float64
174,MHPSYCH,int64
175,MH6HEPAT,int64
176,MH5RESP,int64
177,MH14ALCH,int64
178,MH2NEURL,int64
179,MH14AALCH,float64
180,MH8MUSCL,int64
181,HMSCORE,float64
182,MMSCORE,float64
183,NXVISUAL,int64
184,NXAUDITO,int64
185,NXMOTOR,int64
186,NXCONSCI,int64
187,NXFINGER,int64
188,NXABNORM,int64
189,NXNERVE,int64
190,NXTREMOR,int64
191,NXGAIT,int64
192,NXOTHER,int64
193,NXPLANTA,int64
194,NXSENSOR,int64
195,NXTENDON,int64
196,NXHEEL,int64
