,RandomForest,Adaboost,Bagging,feature
7,1.0,0.15253403728055953,1.0,CDRSB
41,0.788483318637096,0.04513140701716932,0.02763507905776085,mPACCdigit
16,0.6932868616294867,0.0781378789001231,0.028650295031024585,LDELTOTAL
42,0.6597178247418124,0.09311011397560749,0.4639960007181872,mPACCtrailsB
18,0.5297746190815288,0.16151295284774808,0.035981989319947214,FAQ
19,0.324908440537095,0.3626682960015906,0.020940524876716785,MOCA
33,0.319965001168846,0.1388201902256677,0.016097869060547332,EcogSPTotal
10,0.31601516037119814,0.49116144576763615,0.004322896040465153,ADASQ4
9,0.30398807361521524,0.098534078006535,0.012996514820610375,ADAS13
2,0.3034702844869853,0.3036561005407556,0.07720246806890278,FDG
27,0.2953755353679155,0.6634132196981432,0.01743632123888319,EcogSPMem
3,0.27645986932448746,0.19250664170379944,0.04604228571080358,AV45
4,0.2709997567238839,0.7241318475758611,0.02917800386818365,ABETA
12,0.2641340133543078,0.09417738608029576,0.022927483464012976,RAVLT_immediate
35,0.20348339288751907,1.0,0.027283631801383077,Hippocampus
8,0.181968238364016,0.1539933076500637,0.014143255021063601,ADAS11
11,0.1810795811920573,0.008333224594770336,0.0021907123472831246,MMSE
15,0.17578564671956243,0.10795060432193324,0.007717506087991886,RAVLT_perc_forgetting
84,0.15755594765502257,0.004055362994645927,0.0012675774523747256,MMSCORE
28,0.15732339576979384,0.06989408496482523,0.01298413672809253,EcogSPLang
31,0.14826589341541382,0.023967609904460153,0.014787269978175262,EcogSPOrgan
26,0.14488650199737635,0.11462719077972572,0.010811947376113946,EcogPtTotal
20,0.14033629547794055,0.0038519590912587253,0.009351798687283568,EcogPtMem
39,0.13926220042529172,0.4049581378205356,0.021487528851789096,MidTemp
6,0.12090418629050347,0.3692705861362739,0.01974972489440408,PTAU
30,0.12062450899615998,0.04442507235749602,0.010225260501693862,EcogSPPlan
5,0.11057875236223681,0.035586157737983806,0.018990537616058765,TAU
38,0.1085862177761662,0.20416091835517208,0.016937033857947984,Fusiform
37,0.10272246879304944,0.19044245628643897,0.016853732352197934,Entorhinal
76,0.10252742094012114,0.10954943386541396,0.00880901222989214,HMT9
32,0.10204916823915679,0.007137594866853138,0.008515862616233563,EcogSPDivatt
54,0.10004307898914849,0.15514906151919838,0.013486319464818102,HMT16
17,0.09885126578689563,0.07099078378324741,0.013671479004682668,TRABSCOR
78,0.09645147162786284,0.03935920271277703,0.010556000591339524,HMT18
57,0.09204246202055191,0.12404336315227535,0.013082971878854158,HMT17
40,0.09069812508678377,0.43868694301355987,0.013325478812686527,ICV
68,0.0905046064380554,0.07833929026407227,0.014754981532202217,HMT15
36,0.08961333070634284,0.046362615327233424,0.012683473607316746,WholeBrain
52,0.08858965025785774,0.005518819866268761,0.005886553926107414,HMT8
48,0.08725790232243996,0.01307855808664438,0.009381666304008541,HMT4
13,0.08563423404637081,0.01603747097392996,0.01274896120505742,RAVLT_learning
80,0.08266225998853095,0.001996831624628696,0.011636161794652308,BAT126
34,0.08117254803590455,0.5558503922082911,0.010425545084025399,Ventricles
55,0.08095344001670762,0.014570240197222903,0.005869529796576177,HMT7
72,0.0799053537141034,0.015113512738743425,0.007232089187729518,HMT19
44,0.07898478369210735,0.24376188931657677,0.03639806267716166,PTDOBYY
64,0.07876579247967379,0.033974510270005344,0.010285732659153316,HMT11
0,0.07782450265875131,0.30472098236193124,0.007244192751046002,AGE
74,0.07760436814930728,0.02206352552727196,0.01285027250632486,RCT8
61,0.07616815725643046,0.005410227909009216,0.011004337974491208,RCT1407
62,0.07531380752269543,0.12725978390090478,0.008434981006772466,RCT1408
58,0.07511256255170727,0.10331933794304214,0.009801528099173383,RCT19
67,0.07485493271214848,0.004913350536079904,0.007347299651917967,HMT40
71,0.07382014366599485,0.057973806252486944,0.012832274923814299,HMT13
47,0.07351630668644034,0.011849068833888338,0.005831205304817246,HMT10
79,0.0720688009994497,0.003098517522850929,0.012398789054379614,RCT11
66,0.07171385627374613,0.18774194577697287,0.006793265944430813,RCT5
21,0.07143342507933256,0.003868101163131337,0.011762165931307952,EcogPtLang
53,0.06743452825307378,0.003054110381710283,0.008857250084335489,RCT183
73,0.06734556494235931,0.9413800846464718,0.010369494563779363,RCT20
51,0.066859052122441,0.005914403881302206,0.005255338239975574,HMT2
56,0.06667587663103113,0.015577169876932704,0.009028011622303909,RCT1
50,0.0663685443692234,0.16019505644975862,0.007254289451293536,RCT13
82,0.06539487745367636,0.011484722288580175,0.01248108014790478,RCT14
59,0.06525289928704928,0.35347947402711394,0.006576831323656078,RCT4
65,0.06502961117909943,0.5299609534585422,0.011810192581193051,RCT3
24,0.06492829256603481,0.010444995230330862,0.010627771384904507,EcogPtOrgan
63,0.06386566200276778,0.08003412914507271,0.007190036917467018,HMT3
70,0.06298548190866624,0.051467716624116,0.005190432304995567,RCT392
75,0.06094223059828734,0.6170904983188308,0.006254786194204744,RCT12
49,0.0598773022881951,0.18623828054581396,0.006167376813288692,RCT9
60,0.05946470110408834,0.024895704873168573,0.00562955099401543,HMT12
69,0.0592472419087396,0.043709064059878136,0.006227055022221701,RCT6
25,0.058288599192987185,0.010543859239613183,0.007586245073113619,EcogPtDivatt
45,0.05146378968174592,0.030766821000147663,0.0021816644007271757,GDTOTAL
1,0.04756930716658742,0.014145408070187541,0.006112528036334434,PTEDUCAT
14,0.045407422943380196,0.026085770697612802,0.004058788543397089,RAVLT_forgetting
161,0.039549335683540014,0.0032520127110510877,0.031810471604121926,FSVERSION_Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
77,0.035469019213702144,0.037501245165911724,0.004551220646058413,RCT29
109,0.013666826930994852,0.010951361128348271,0.0019402761340053104,MH16SMOK_1.0
